01188,ILLIAT,01140,ILLIAT,,46.1670266686,4.8459954399
01189,INJOUX GENISSIAT,01200,INJOUX GENISSIAT,CRAZ,46.1338706653,5.81259483702
01190,INNIMOND,01680,INNIMOND,,45.752622921,5.55446422211
01191,IZENAVE,01430,IZENAVE,,46.1000038391,5.54230808548
01193,IZIEU,01300,IZIEU,,45.7328309975,5.65715901636
01194,JASSANS RIOTTIER,01480,JASSANS RIOTTIER,,46.0178170669,4.81482624573
01196,JAYAT,01340,JAYAT,,46.3400485451,5.13297724307
01197,JOURNANS,01250,JOURNANS,,46.2066710432,5.38605889851
01198,JOYEUX,01800,JOYEUX,,45.8984701804,5.16340257624
01200,LABALME,01450,LABALME,,46.1107742949,5.45519733117
01202,LAGNIEU,01150,LAGNIEU,,45.8772713832,5.32595701713
01209,LEAZ,01200,LEAZ,,46.1338706653,5.81259483702
01211,LENT,01240,LENT,,46.0916655381,5.14797548998
01216,LHUIS,01680,LHUIS,,45.752622921,5.55446422211
01225,LURCY,01090,LURCY,,46.0869886552,4.79611073763
01229,MALAFRETAZ,01340,MALAFRETAZ,,46.3400485451,5.13297724307
01240,MATAFELON GRANGES,01580,MATAFELON GRANGES,,46.2402104429,5.54908625912
01243,MESSIMY SUR SAONE,01480,MESSIMY SUR SAONE,,46.0178170669,4.81482624573
01245,BOHAS MEYRIAT RIGNAT,01250,BOHAS MEYRIAT RIGNAT,,46.2066710432,5.38605889851
01247,MIJOUX,01410,MIJOUX,,46.2796643227,5.91198359476
01248,MIONNAY,01390,MIONNAY,,45.9283135136,4.92727608131
01249,MIRIBEL,01700,MIRIBEL,,45.8388521429,4.95806179291
01250,MISERIEUX,01600,MISERIEUX,,45.9478092043,4.80583207499
01252,MOGNENEINS,01140,MOGNENEINS,,46.1670266686,4.8459954399
01258,MONTCEAUX,01090,MONTCEAUX,,46.0869886552,4.79611073763
01262,MONTLUEL,01120,MONTLUEL,CORDIEUX,45.8725197955,5.04054729356
01265,MONTREAL LA CLUSE,01460,MONTREAL LA CLUSE,,46.1732029522,5.56455683284
01269,NANTUA,01130,NANTUA,,46.1948352393,5.7148151411
01275,NEYRON,01700,NEYRON,,45.8388521429,4.95806179291
01277,NIVOLLET MONTGRIFFON,01230,NIVOLLET MONTGRIFFON,,45.9329292993,5.4692328328
01280,ORDONNAZ,01510,ORDONNAZ,,45.8480243468,5.61949053703
01281,ORNEX,01210,ORNEX,,46.2774426572,6.10074151675
01283,OYONNAX,01100,OYONNAX,VEYZIAT,46.2468792013,5.65226081977
01284,OZAN,01190,OZAN,,46.4316836316,4.96424452785
01286,PARVES ET NATTAGES,01300,PARVES ET NATTAGES,,45.7328309975,5.65715901636
01288,PERON,01630,PERON,,46.2145490709,5.95816552297
01303,PONCIN,01450,PONCIN,,46.1107742949,5.45519733117
01308,POUGNY,01550,POUGNY,,46.1521009626,5.90976446888
01319,RELEVANT,01990,RELEVANT,,46.0766987934,4.89959868147
01323,REYSSOUZE,01190,REYSSOUZE,,46.4316836316,4.96424452785
